time,Buffer 1,Buffer 2,Buffer 3,Buffer 4,Buffer 5,Buffer 6,Buffer 7
715.650039,55270.25,39549.5,42581,45586.5,46651.5,41437.5,37858
721.766706,54967.75,39242.5,42512,45686,46396.5,41135,37655
727.883373,54833.75,39409.5,42418,45497.66667,46195.5,41155.5,37648
734.00004,54438.75,39045.5,42355,45320.5,46134.5,40858,37478
740.116707,54237.75,39088.5,42041,45065.5,45739,40887,37466
746.233374,54058.75,38952.5,41761,44946,45712,40836,37095
752.350041,54008.75,38775.5,41732,44992.5,45463,40803,37456
758.466708,53716.75,38885.5,41517,44536,45441,40681,37063
764.583375,53115.25,38461.5,41246,44408,45327.5,40437,37053
770.700042,53138.25,38251.5,41259,44271.66667,44929.5,40333,36780
776.816709,52949.25,38086.5,41038,44003.66667,44650,39908,36393
782.933376,52538.25,38242.5,40871,43838,44826.5,40082.5,36619
789.050043,52783.25,38183.5,41106,44246.66667,44902,40267.5,36838
795.16671,52377.25,38189.5,40705,43759,44562.5,39899.5,36669
801.283377,52143.75,38037.5,40605,43520,44408,39856.5,36394
807.400044,51635.75,37602.5,40121,43297.33333,43960,39450,35760
813.516711,51454.75,37905.5,40107,43338,44080,39424,36065
819.633378,51428.75,37854.5,40290,43413,43972,39631,36148
825.750045,51234.25,37609.5,40316,43259.66667,43868,39651,36100
831.866712,50910.75,37405.5,39785,42608.66667,43502.5,39255.5,35811
837.983379,50581.25,37454.5,39758,42680.33333,43513.5,39018.5,35651
844.100046,50524.25,37371.5,39661,42472,43241.5,39187.5,35788
850.216713,50123.75,37025.5,39474,42309,42913.5,39040.5,35404
856.33338,49978.25,36914.5,39256,42149,42924,38948,35355
862.450047,49994.75,37172.5,39404,42416,43015,38773.5,35375.5
868.566714,49413.75,36836.5,39336,41838,42753.5,38655.5,35259.5
874.683381,49323.75,36586.5,38803,41572,42629,38359,34980.5
880.800048,49101.75,36662.5,38821,41719,42454.5,38395.5,34945
886.916715,48905.75,36716.5,38916,41717,42434.5,38421.5,35004
893.033382,48677.75,36399.5,38675,41424,42144,38076,34722
899.150049,48796.25,36612.5,38935,41529,42253,38583,35080
